Estrato,Cong,Nroviv,Miembro,RelPar,Sexo,Edad,Salud,Educa,PEA,Ocup
1,1,1,1,Jefe/a,1,58,0,6,1,1
1,1,1,2,CONYUGE,2,53,0,6,0,0
1,1,1,3,HIJO,1,10,0,2,0,0
1,1,2,1,Jefe/a,1,42,0,7,1,1
1,1,3,1,Jefe/a,1,49,0,9,1,1
1,1,3,2,CONYUGE,2,48,0,7,1,1
1,1,3,3,HIJO,1,20,1,9,1,1
1,1,3,4,HIJO,1,19,0,5,0,0
1,1,4,1,Jefe/a,1,42,0,8,1,0
1,1,4,2,CONYUGE,2,23,0,7,0,0
1,1,4,3,HIJASTRO,1,7,0,2,0,0
1,1,4,4,HIJASTRO,2,8,0,2,0,0
1,1,4,5,HIJASTRO,2,1,0,99,0,0
1,1,5,1,Jefe/a,2,40,0,8,0,0
1,1,5,2,HIJA,2,7,0,2,0,0
1,1,5,3,HIJA,2,3,0,99,0,0
1,1,5,4,CONYUGE,1,31,0,6,1,1
1,1,6,1,Jefe/a,1,35,1,10,1,1
1,1,6,2,CONYUGE,2,35,1,10,1,0
1,1,6,3,HIJO,1,4,1,99,0,0
1,1,7,1,Jefe/a,2,51,1,7,1,1
1,1,7,2,hija,2,25,1,5,1,0
1,1,8,1,Jefe/a,1,71,1,6,0,0
1,1,9,1,Jefe/a,1,34,0,7,1,1
1,1,9,2,conyuge,2,26,0,7,0,0
1,1,9,3,AMIGA,2,23,0,7,1,0
1,1,9,4,HIJA,2,4,0,99,0,0
1,1,9,5,HIJA,2,3,0,99,0,0
1,1,9,6,HIJA,1,2,0,99,0,0
1,1,9,7,NO FAMILIA,2,0,0,99,0,0
1,1,10,1,Jefe/a,1,79,1,6,0,0
1,1,10,2,conyuge,2,83,1,6,0,0
1,1,10,3,hija,2,41,1,9,1,1
1,1,10,4,nieto,1,10,1,2,0,0
1,1,10,5,nieto,1,7,1,2,0,0
1,1,11,1,Jefe/a,1,26,0,9,1,1
1,1,11,2,CONYUGE,2,27,0,9,1,1
1,1,11,3,HIJO,1,4,0,99,0,0
1,1,12,1,Jefe/a,1,69,1,7,0,0
1,1,12,2,CONYUGE,2,63,1,6,0,0
1,1,13,1,Jefe/a,1,40,0,7,1,1
1,1,13,2,CONYUGE,2,37,0,6,0,0
1,1,13,3,HIJO,1,22,0,7,0,0
1,1,13,4,HIJO,1,14,0,2,0,0
1,1,13,5,HIJO,1,13,0,2,0,0
1,1,13,6,HIJA,2,5,0,0,0,0
1,1,14,1,Jefe/a,2,22,1,8,0,0
1,1,14,2,HIJO,2,7,1,2,0,0
1,1,14,3,HIJO,2,3,1,99,0,0
1,1,15,1,Jefe/a,2,62,0,7,1,1
1,1,15,2,HERMANO,1,72,1,7,0,0
1,1,16,1,Jefe/a,1,39,0,8,1,1
1,1,16,2,CONYUGE,2,38,0,7,1,1
1,1,16,3,HIJA,2,7,0,2,0,0
1,1,17,1,Jefe/a,1,40,0,8,1,1
1,1,17,2,CONYUGE,2,37,0,7,1,1
1,1,17,3,HIJO,1,21,0,8,1,1
1,1,17,4,HIJO,1,20,0,7,1,0
1,1,17,5,HIJO,1,18,0,7,1,0
1,1,17,6,HIJO,1,17,0,7,0,0
1,1,17,7,HIJO,2,13,0,2,0,0
1,1,17,8,HIJO,2,9,0,2,0,0
1,1,17,9,HIJO,1,3,0,99,0,0
1,1,17,10,HIJO,2,1,0,99,0,0
1,1,18,1,Jefe/a,1,37,0,8,1,1
1,1,18,2,CONYUGE,2,37,0,8,1,1
1,1,18,3,HIJO,1,12,0,2,0,0
1,1,18,4,HIJA,2,7,0,2,0,0
1,1,18,5,HIJA,2,3,0,99,0,0
1,1,19,1,Jefe/a,1,54,1,7,1,1
1,1,19,2,conyuge,2,46,1,7,0,0
1,1,19,3,hijo,1,21,1,4,1,1
1,1,19,4,hijo,1,16,1,3,0,0
1,1,19,5,hijo,1,12,1,2,0,0
1,1,20,1,Jefe/a,2,77,1,6,0,0
1,1,21,1,Jefe/a,1,53,1,6,0,0
1,1,22,1,Jefe/a,1,73,1,7,0,0
1,1,22,2,CONYUGE,2,63,0,6,0,0
1,1,23,1,Jefe/a,1,54,1,6,1,0
1,1,23,2,CONYUGE,2,50,1,6,1,1
1,1,24,1,Jefe/a,1,47,1,7,1,1
1,1,24,2,conyuge,2,48,1,7,1,1
1,1,24,3,hijo,1,20,1,7,1,1
1,1,24,4,nuera,2,23,0,7,0,0
1,1,25,1,Jefe/a,1,32,1,7,1,1
